"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_5_345","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_347","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_349","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_351","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_49","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_5","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_51","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_53","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_57","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_61","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_63","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_65","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_67","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_69","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_71","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_97","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_5_99","CD45- GFP+ CD31-","1200","cancer associated fibroblast","skin","tumor","5 day"
"22028_4_101","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_103","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_107","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_109","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_111","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_113","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_115","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_117","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_119","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_13","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_145","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_149","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_15","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_153","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_155","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_157","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_161","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_163","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_165","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_167","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_19","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_195","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_197","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_199","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
