Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
C12orf12	0	0	0	0	0	0	0	0	0	0
C12orf23	5208	4147	3093	6364	4061	2162	2110	2279	1954	1461
C12orf24	2286	1875	1309	2632	1607	1591	1670	1711	1457	1035
C12orf26	227	187	136	283	165	176	160	194	140	102
C12orf29	1889	1443	1089	2191	1346	2383	2461	2696	2140	1574
C12orf32	4020	3623	2330	5002	2660	948	949	1004	827	506
C12orf33	3	3	5	6	14	8	8	4	5	4
C12orf34	225	210	138	276	286	1852	1946	1961	1604	1720
C12orf35	4171	3362	2453	4664	3330	1669	1711	1801	1490	950
C12orf36	1	1	0	1	2	0	0	1	0	1
C12orf37	0	0	0	0	0	0	0	0	0	0
C12orf39	14	13	6	14	13	109	104	108	77	56
C12orf4	1486	1106	780	1735	1027	1619	1614	1772	1430	1033
C12orf40	4	0	0	5	0	1	2	1	0	0
C12orf41	3144	2652	1791	3624	1997	1527	1742	1787	1504	904
C12orf42	4	5	5	11	2	2	1	6	3	3
C12orf43	868	900	547	1055	703	1242	1380	1261	1086	730
C12orf44	2601	2781	1720	3468	2022	1809	1898	1805	1576	927
C12orf45	838	750	514	1062	557	232	235	250	210	115
C12orf47	1610	1436	936	2109	1113	1095	1229	1219	974	703
C12orf48	1931	1548	1107	2328	1438	74	63	82	66	36
C12orf49	1895	1773	1172	2259	1317	2250	2413	2367	1971	1204
C12orf5	1903	1553	1018	2153	1266	1375	1239	1349	1105	701
C12orf50	1	0	1	0	2	1	1	0	4	0
C12orf51	3865	3874	2337	4490	3397	22719	24403	23565	19187	12979
C12orf52	1496	1697	1070	1979	1629	1522	1596	1571	1332	908
C12orf53	376	467	274	586	398	9735	10512	9585	8338	5404
C12orf54	1	3	0	1	0	14	12	19	18	6
C12orf56	13	16	16	19	21	18	16	21	9	11
C12orf57	2745	3344	2280	4064	3288	3152	3332	3279	2871	2103
C12orf59	23	19	21	35	27	66	69	73	61	29
C12orf60	146	121	79	169	101	33	34	50	42	30
C12orf61	13	10	13	26	25	9	9	19	6	9
C12orf62	1629	1703	1116	2117	1062	2103	2272	2257	1898	999
C12orf65	1283	1177	816	1625	917	971	998	966	838	529
C12orf66	554	519	339	689	411	363	397	384	330	163
C12orf68	22	59	19	36	37	3059	3230	3220	2656	1858
C12orf69	30	30	16	34	18	2	5	10	3	1
C12orf70	24	16	8	29	7	12	17	10	12	6
C12orf71	9	4	6	12	6	7	6	6	3	3
C12orf73	683	607	507	857	509	584	570	638	542	356
C12orf74	0	0	1	0	0	0	0	0	0	0
C12orf75	4148	3208	2284	5114	3266	388	402	469	380	267
C12orf76	909	851	521	1180	569	3746	3963	4077	3376	2103
C12orf77	2	0	1	0	0	0	0	0	2	0
C13orf15	126	111	79	192	109	3957	4086	4313	3468	2920
C13orf16	16	13	9	14	8	156	171	188	159	70
C13orf26	0	0	0	0	0	26	28	36	21	15
C13orf27	1590	1180	903	1903	1022	416	449	516	415	282
C13orf30	4	4	2	5	2	20	14	29	27	21
C13orf33	45	32	19	51	19	87	97	109	93	70
C13orf35	2	2	1	1	1	0	0	2	0	0
C14orf1	3395	3280	2069	4466	2460	2061	2270	2227	1943	1226
C14orf101	1190	962	621	1333	858	1233	1227	1322	1026	775
C14orf102	892	880	548	1078	657	1050	1093	1190	888	536
C14orf105	4	0	5	5	2	7	11	12	10	4
C14orf109	1385	1100	762	1612	903	498	537	619	477	301
C14orf118	877	781	517	954	634	638	680	666	561	328
C14orf119	4457	3797	2401	5354	2746	1373	1499	1553	1218	817
C14orf126	1471	1103	856	1778	1049	896	964	1024	807	556
C14orf128	196	186	142	279	152	372	398	330	341	175
C14orf129	1534	1289	797	1747	1010	1910	1845	2039	1562	1119
C14orf132	1593	1465	951	1838	1147	26383	28496	27658	22720	14330
C14orf133	1935	1807	1148	2292	1268	1514	1608	1648	1307	808
C14orf135	4187	3367	2313	4952	3145	2295	2328	2460	1929	1350
C14orf142	704	571	433	904	574	342	391	439	394	281
C14orf149	447	368	272	524	445	225	214	241	149	181
C14orf159	1577	1541	1049	2047	1062	5209	5576	5312	4443	2605
C14orf162	6	5	3	8	2	569	533	555	490	298
C14orf165	0	0	0	0	0	0	0	0	2	0
C14orf166	9015	7390	5278	11246	6174	2751	2821	2948	2416	1690
C14orf166B	0	0	0	0	0	1	0	0	1	0
C14orf167	1195	1061	669	1368	864	1120	1139	1104	958	678
C14orf169	989	886	595	1175	760	627	691	617	539	361
C14orf176	89	75	58	127	58	24	20	40	41	15
C14orf177	0	0	0	0	0	0	0	0	0	0
C14orf178	3	0	3	4	2	2	6	4	5	4
C14orf180	0	1	1	0	0	15	17	18	9	8
C14orf182	33	33	29	57	17	9	12	9	8	3
C14orf183	1	0	1	1	0	0	0	1	0	0
C14orf19	5	5	7	2	3	3	2	2	4	3
C14orf2	5454	4436	3203	6869	3165	5967	6040	6281	5196	3309
C14orf21	1156	1215	696	1266	977	1002	1098	1034	857	533
C14orf23	3	18	22	18	12	264	251	265	263	164
C14orf28	330	258	206	377	241	298	294	354	250	165
C14orf33	116	99	68	183	99	17	24	46	24	15
C14orf34	362	299	199	423	228	1	1	0	3	1
C14orf37	163	159	120	211	100	887	966	982	783	475
C14orf38	0	0	0	0	0	232	212	224	179	157
C14orf39	132	82	74	151	87	2	1	3	1	1
C14orf43	3660	3639	2468	4443	3210	3563	3789	3592	3103	2080
C14orf45	296	235	167	352	225	423	420	526	424	276
C14orf48	1	1	2	2	3	1	0	0	0	0
C14orf49	172	175	113	196	149	246	274	267	203	127
C14orf55	31	21	21	56	20	169	171	170	150	98
C14orf64	16	15	14	19	10	23	30	21	13	10
C14orf70	0	0	0	0	0	1	5	5	0	4
C14orf79	577	552	369	687	438	535	549	531	458	278
C14orf80	173	234	186	259	972	171	149	192	160	294
C14orf82	105	106	79	88	62	64	73	83	68	29
C14orf86	1	0	1	0	0	36	31	42	25	21
C14orf93	971	912	585	1167	699	274	318	284	271	163
C15orf17	4307	3768	2419	5152	2713	6691	7283	7400	6006	3891
C15orf2	0	0	1	1	0	12	18	15	14	6
C15orf23	3086	2541	1790	3607	2172	676	702	676	628	410
C15orf24	4506	3825	2615	5863	2709	3197	3246	3559	2865	1754
C15orf26	203	175	119	254	141	19	29	23	24	10
C15orf27	70	111	74	134	87	1748	1817	1829	1625	1214
C15orf29	1457	1171	853	1824	1081	1435	1438	1586	1241	1086
C15orf32	0	1	0	0	0	1	0	0	0	1
C15orf33	84	82	52	112	71	55	66	63	58	33
C15orf34	40	23	16	46	26	15	12	12	15	9
C15orf37	156	147	105	151	218	104	112	91	94	95
C15orf38	667	678	483	801	333	859	920	909	791	337
C15orf38-AP3S2	18	14	6	24	10	40	52	48	38	29
C15orf39	2339	2905	1829	2984	3020	311	362	352	314	246
C15orf40	1063	955	748	1410	757	620	673	698	568	337
C15orf41	869	726	493	1051	623	475	488	468	385	264
C15orf42	3188	3042	1861	3566	2529	41	39	38	24	20
C15orf43	0	0	0	0	0	0	0	0	0	0
C15orf44	4002	3475	2447	4990	2704	1337	1384	1302	1210	699
C15orf48	20	13	11	25	6	3	6	7	3	1
C15orf5	3	7	2	0	1	5	4	1	6	3
C15orf50	0	1	0	2	0	2	2	0	0	0
C15orf52	1155	1158	710	1432	848	1019	1087	975	862	539
C15orf53	0	0	0	0	0	0	2	0	0	0
C15orf54	6	7	8	10	4	1	0	3	0	0
C15orf55	11	8	4	5	4	8	8	7	3	3
C15orf56	8	6	8	5	3	62	77	64	39	25
C15orf57	847	812	529	1083	548	1047	1022	1039	915	509
C15orf58	126	109	67	136	68	143	145	128	128	72
C15orf59	69	71	58	104	86	2380	2491	2416	2104	1419
C15orf60	0	1	0	1	0	1	1	0	1	1
C15orf61	330	320	220	406	408	473	507	482	388	406
C15orf62	125	135	88	158	116	394	447	440	338	222
C15orf63	6	1	0	3	4	10	13	15	14	10
C16orf11	0	7	3	6	16	954	773	900	801	2274
C16orf13	1533	1838	1198	2156	2251	1928	2039	2063	1603	1439
C16orf3	46	39	35	58	32	41	45	37	34	18
C16orf42	997	1397	857	1422	1988	1275	1395	1336	1149	1181
C16orf45	2475	2346	1484	3004	1619	16369	18109	16682	14743	8447
C16orf46	246	206	144	271	124	693	641	643	623	263
C16orf48	591	655	468	788	920	480	474	517	406	445
C16orf5	2535	2613	1767	3262	1964	16866	18272	17473	15082	9162
C16orf52	1499	1211	849	1764	1153	4130	4129	4493	3634	2656
C16orf53	3069	3312	2238	4045	3171	3955	4266	4201	3583	2931
C16orf54	154	128	80	159	102	16	14	22	12	11
C16orf55	342	392	281	448	325	280	261	293	215	142
C16orf57	3699	3745	2423	4680	3044	2115	2443	2315	1906	1281
C16orf58	6454	7262	4501	8320	4988	6024	6567	6271	5361	2898
C16orf59	755	745	494	876	991	99	81	106	61	72
C16orf61	2831	2242	1631	3499	2055	1374	1431	1561	1250	941
C16orf62	3116	2597	1753	3747	2037	4487	4789	4844	3939	2477
C16orf7	601	766	473	890	788	2562	2728	2608	2372	1661
C16orf70	2377	2248	1361	2878	1676	2246	2543	2341	1969	1215
C16orf71	18	22	23	34	18	56	72	64	67	43
C16orf72	4225	3446	2412	4914	3087	3111	3164	3542	2741	1920
C16orf73	1148	872	706	1436	804	18	15	11	16	10
C16orf74	215	320	198	331	266	34	44	41	41	22
C16orf78	0	0	3	0	0	0	0	0	0	0
C16orf79	129	142	107	161	233	492	435	483	442	452
C16orf80	2802	2469	1607	3382	1889	2268	2349	2374	2035	1338
C16orf82	0	0	1	5	0	0	0	0	1	1
C16orf86	63	81	64	86	123	348	315	332	312	292
C16orf87	1135	935	663	1370	728	431	384	449	398	248
C16orf88	2798	2420	1684	3334	1959	833	793	902	748	476
C16orf89	158	136	84	159	101	864	953	910	797	500
C16orf90	0	2	0	1	4	1	4	0	0	0
C16orf91	307	346	215	371	268	246	238	218	224	129
C16orf92	0	0	0	0	1	3	2	3	3	4
C16orf93	18	18	16	19	54	22	24	22	22	15
C16orf95	160	168	120	203	174	139	130	117	106	70
C16orf96	27	18	8	37	21	41	50	61	55	44
C17orf100	289	214	132	324	248	332	332	354	283	245
C17orf101	1698	1862	1241	2140	1775	1154	1176	1255	1058	648
C17orf102	4	3	3	2	3	333	386	364	279	217
C17orf103	770	823	558	993	690	1188	1383	1283	1054	645
C17orf104	267	196	143	244	208	223	241	240	208	147
C17orf105	1	1	0	2	0	3	5	1	1	1
C17orf107	59	52	30	55	48	452	467	485	384	369
C17orf108	213	242	144	262	170	2096	2236	2132	1874	1223
C17orf109	97	106	65	130	74	353	400	361	300	224
C17orf110	29	17	13	16	7	68	88	83	68	29
C17orf28	935	1105	717	1263	806	11392	12277	11591	9864	5913
C17orf39	1519	1234	894	1729	1120	1711	1759	1769	1510	985
C17orf42	870	676	481	1016	538	294	265	317	263	162
C17orf46	11	14	6	16	9	2	2	0	1	1
C17orf47	23	16	18	32	22	23	15	7	4	2
C17orf48	463	380	285	583	302	291	297	351	264	172
C17orf49	240	261	150	318	129	206	223	190	182	93
C17orf50	2	3	0	1	2	11	14	6	10	13
C17orf51	1393	1347	943	1699	1078	6475	6924	6866	5587	3438
C17orf53	1222	1113	741	1513	818	60	68	72	55	39
C17orf56	789	963	598	1105	1030	668	741	698	596	503
C17orf57	208	192	161	264	174	105	117	113	104	56
C17orf58	1281	1165	784	1593	981	658	639	737	573	374
C17orf59	269	321	185	336	418	442	477	431	390	433
C17orf61	1628	1486	1010	1982	1304	731	783	774	598	482
C17orf61-PLSCR3	0	0	0	0	4	0	0	1	0	3
C17orf62	2869	3073	1976	3878	2916	2015	2164	2171	1925	1339
C17orf63	1910	1830	1185	2392	1615	2142	2201	2104	1850	1287
C17orf64	1	1	2	2	3	0	0	2	0	1
C17orf65	1035	1018	669	1300	702	271	251	273	268	164
C17orf66	4	0	3	1	0	2	1	4	5	0
C17orf67	69	43	33	52	31	45	41	34	40	31
C17orf69	609	483	354	662	333	1263	1256	1272	1036	559
C17orf70	921	1471	1009	1497	2384	1055	1053	1182	976	910
C17orf72	89	98	90	127	83	190	195	199	183	95
C17orf74	2	3	4	3	1	0	0	0	1	0
C17orf75	2127	1689	1210	2466	1194	2633	2735	2941	2515	1302
C17orf76	173	189	140	237	126	570	548	648	486	328
C17orf76-AS1	34533	31161	21817	45527	22697	7559	7557	7940	6827	4058
C17orf77	10	7	4	9	6	0	0	0	0	0
C17orf78	7	8	4	5	1	11	7	6	7	2
C17orf79	3113	2614	1769	4005	1920	3715	4032	3959	3391	2023
C17orf80	2529	2128	1436	2914	1698	1855	1975	1974	1605	1080
C17orf81	2947	2732	1888	3583	2056	2235	2432	2249	1983	1198
C17orf82	4	9	6	10	24	0	0	3	0	1
C17orf85	2559	2312	1525	3050	2007	1785	1812	1700	1504	974
C17orf87	3	1	1	0	1	15	9	17	12	7
C17orf88	0	0	0	2	0	2	5	4	4	2
C17orf89	1030	875	553	1293	799	808	806	791	632	560
C17orf90	181	311	219	297	633	212	203	213	173	228
C17orf96	2392	2129	1577	3017	1847	1058	1049	1121	927	652
C17orf97	262	212	157	327	248	424	444	489	356	264
C17orf98	0	1	0	1	0	0	1	0	1	0
C17orf99	46	75	34	69	45	0	0	1	2	0
C18orf1	1101	874	632	1162	810	7062	7174	7446	5938	4050
C18orf10	6084	5573	3550	7484	4316	4555	4850	4894	4024	2631
C18orf18	286	319	219	423	264	346	327	333	287	176
C18orf19	3361	2729	1939	4033	2376	826	872	966	749	521
C18orf21	1074	861	641	1293	727	562	641	613	486	357
C18orf25	2519	2098	1511	3011	1944	2754	2716	2820	2456	1713
C18orf26	4	5	0	7	3	0	0	0	3	0
C18orf32	136	165	129	188	251	422	410	414	367	595
C18orf34	6	4	2	3	4	5	16	6	12	8
C18orf42	3	0	0	1	1	1201	1253	1258	1030	711
C18orf45	1240	940	665	1189	624	729	683	742	549	316
C18orf54	1206	927	686	1333	932	367	383	436	344	268
C18orf55	2280	1858	1288	2720	1469	1572	1587	1655	1424	898
C18orf56	174	158	109	198	259	114	114	147	102	122
C18orf62	2	0	0	0	0	2	1	0	0	0
C18orf63	0	0	0	0	0	0	0	3	1	0
C18orf8	1398	1225	808	1676	958	1557	1624	1644	1371	933
C19orf10	8102	8643	5928	11175	6663	1688	1826	1858	1550	946
C19orf12	1248	1219	813	1608	1029	3339	3451	3533	2957	1969
C19orf18	22	26	17	23	9	20	22	15	15	18
C19orf2	5323	4327	3007	6377	3541	3413	3377	3513	2916	1928
C19orf20	5	2	3	5	364	16	2	12	10	391
C19orf21	1260	1318	868	1626	1309	9	19	18	11	13
C19orf22	2730	3197	2008	3667	3269	2217	2382	2242	2003	1560
C19orf23	130	102	63	141	83	127	121	117	90	56
C19orf24	396	732	624	768	1267	447	438	456	435	408
C19orf25	457	690	494	690	1153	1037	1049	1044	944	941
C19orf26	48	96	69	85	207	459	406	464	438	489
C19orf28	5250	6208	4034	7119	8728	1649	1752	1665	1540	1396
C19orf29	725	1024	658	1041	1735	914	879	895	793	901
C19orf29-AS1	15	21	22	32	38	16	12	19	7	9
C19orf33	0	0	0	0	0	0	0	0	0	0
C19orf34	2	11	8	5	5	5	3	12	4	2
C19orf35	10	14	14	23	17	18	25	14	17	25
C19orf38	47	41	27	48	27	76	83	83	76	36
C19orf39	122	159	95	164	165	57	74	53	47	28
C19orf40	331	354	203	391	250	27	25	38	28	18
C19orf42	3734	3081	2191	4611	2051	2438	2489	2634	2149	1075
C19orf43	5621	5488	3387	7442	4969	4292	4382	4063	3699	2961
C19orf44	473	483	349	604	439	513	536	523	447	274
C19orf45	6	11	12	14	10	34	31	28	12	26
C19orf46	138	168	123	217	180	205	243	258	215	159
C19orf47	652	794	507	802	785	689	725	716	595	361
C19orf48	5386	6851	4498	7741	5649	514	557	612	441	310
C19orf50	5404	6033	3655	7311	4161	3116	3274	3076	2607	1680
C19orf51	392	344	253	517	367	17	16	25	23	14
C19orf52	725	762	496	1038	790	549	574	542	514	388
C19orf53	4105	4827	3197	5747	3245	3282	3513	3330	2896	1536
C19orf54	1924	2086	1242	2545	1589	410	494	369	363	247
C19orf55	762	776	565	959	494	310	285	292	267	132
C19orf56	5371	5884	3633	7294	3657	3384	3619	3418	2921	1708
C19orf57	364	403	245	458	296	200	256	258	238	121
C19orf59	9	7	5	24	6	5	8	18	9	7
C19orf6	4205	5813	3584	5846	8445	5720	6079	5575	4928	5461
C19orf60	210	240	152	291	1003	465	430	444	387	1175
C19orf63	2533	2990	2017	3415	3485	4211	4455	4335	3849	3286
C19orf66	1031	1108	710	1446	1018	2097	2056	2157	1802	1323
C19orf69	13	6	3	10	6	8	4	3	5	4
C19orf70	1217	1486	987	1646	1493	1696	1797	1793	1593	1160
C19orf71	21	42	30	50	149	66	30	51	54	67
C19orf73	22	30	25	55	43	74	78	61	55	66
C19orf75	0	0	1	2	0	1	0	0	0	0
C19orf76	235	289	179	309	290	77	93	78	86	83
C19orf77	786	691	430	975	413	134	116	108	101	61
C19orf79	1975	1694	1316	2874	1090	1337	1296	1416	1239	671
C19orf80	85	128	97	165	189	10	9	10	6	4
C19orf81	2	1	0	3	56	3	3	5	3	62
C1D	2119	1563	1043	2610	1358	1500	1492	1645	1272	885
C1GALT1	4911	3892	2846	5747	3697	1953	2003	2114	1645	1223
C1GALT1C1	1695	1322	967	2037	1153	681	715	728	652	380
C1QA	1	0	1	0	0	1827	2009	1908	1578	943
C1QB	0	0	0	0	0	3141	3481	3263	2820	1765
C1QBP	13843	11561	7798	16808	9800	3492	3639	3681	3072	2320
C1QC	0	1	0	1	0	2343	2678	2466	2195	1417
C1QL1	257	356	204	356	603	566	621	554	457	605
C1QL2	4	1	4	0	7	236	218	232	213	356
C1QL3	39	37	23	44	30	2171	2133	2107	1729	1372
C1QL4	91	69	55	104	123	19	12	21	15	17
C1QTNF1	578	713	470	780	644	790	966	893	821	544
C1QTNF2	114	120	65	121	138	165	147	133	128	98
C1QTNF3	433	394	287	524	351	731	838	925	686	491
C1QTNF3-AMACR	4	6	4	3	2	4	2	2	6	3
C1QTNF4	1	1	1	3	28	198	154	170	137	1614
C1QTNF5	0	0	0	0	0	0	0	0	0	0
C1QTNF6	1798	2073	1247	2376	1649	218	249	247	209	138
C1QTNF7	4	3	0	8	7	64	79	63	53	30
C1QTNF8	4	1	0	10	1	0	5	5	1	3
C1QTNF9	2	6	2	5	3	3	3	5	4	4
C1QTNF9B	5	1	3	8	3	6	9	3	7	1
C1QTNF9B-AS1	22	16	14	23	16	4	5	3	4	8
C1R	4199	4318	2631	5152	3029	1964	2223	2035	1778	1063
C1RL	1888	1750	1154	2379	1257	752	790	861	661	394
C1S	2304	2072	1269	2876	1448	2098	2279	2321	1912	1171
C1orf100	1	2	1	3	1	0	0	0	0	0
C1orf101	20	16	12	22	15	75	97	85	92	48
C1orf105	3	3	0	6	5	1	0	2	1	0
C1orf106	1224	1199	722	1590	997	86	100	100	85	67
C1orf109	2226	1710	1258	2384	1418	959	1076	1109	895	577
C1orf110	1	2	0	0	2	5	10	8	5	4
C1orf111	4	4	4	1	4	15	28	15	17	14
C1orf112	2145	1754	1194	2539	1399	262	279	267	216	129
C1orf114	128	115	88	198	113	513	486	537	460	381
C1orf115	1360	1256	789	1700	970	8182	8569	8494	7400	4422
C1orf116	101	93	57	122	69	27	18	15	13	9
C1orf122	1622	1434	961	2048	1800	2380	2606	2463	2094	2011
C1orf123	2769	2284	1597	3342	1555	2093	2209	2205	1822	1108
C1orf124	814	709	502	871	672	459	459	542	400	281
C1orf126	196	161	123	227	124	948	1069	1082	957	514
C1orf127	2	6	0	9	4	135	108	99	97	68
C1orf129	0	0	0	0	0	0	0	0	0	0
C1orf130	286	263	185	371	218	59	68	76	52	42
C1orf131	1196	986	721	1501	859	357	385	393	315	222
C1orf133	39	29	27	51	49	77	68	93	80	83
C1orf135	1119	952	659	1306	660	129	124	104	114	52
C1orf140	7	2	7	8	6	7	4	2	0	2
C1orf141	0	1	1	3	0	12	16	15	12	2
C1orf144	10348	10448	6975	13053	8043	3621	3917	3723	3207	1973
C1orf146	1	0	0	0	0	3	0	2	4	2
C1orf150	15	11	7	16	12	238	205	233	159	160
C1orf151-NBL1	1	0	0	1	5	5	1	2	5	3
C1orf158	4	3	1	7	2	10	8	9	7	3
C1orf159	157	247	182	229	837	224	186	205	197	390
C1orf162	46	56	23	69	32	335	373	413	328	220
C1orf168	93	77	49	143	89	55	52	50	29	23
C1orf170	109	142	92	130	182	11	5	7	9	9
C1orf172	166	156	92	207	139	111	107	132	99	61
C1orf173	1	4	0	4	4	4615	4760	5114	4084	2896
C1orf174	2365	2346	1433	2904	1667	1012	1108	1070	958	558
C1orf177	3	4	3	3	1	8	5	10	5	1
C1orf180	0	1	0	1	0	1	3	1	2	1
C1orf182	44	41	26	42	17	9	3	7	8	6
C1orf183	536	568	349	762	418	3237	3517	3582	2881	1621
C1orf185	0	0	0	0	0	0	0	0	0	0
C1orf186	65	65	43	64	39	1	2	3	1	0
C1orf187	176	189	127	206	197	73	60	61	58	31
C1orf189	1	1	2	1	1	2	2	1	0	0
C1orf190	66	66	59	88	54	604	687	626	532	257
C1orf192	69	65	44	89	55	267	302	319	257	133
C1orf194	3	2	0	3	1	57	44	75	44	24
C1orf198	3104	3043	2057	3912	2962	8280	8561	9004	7084	5382
C1orf200	1	1	0	0	0	2	0	1	3	4
C1orf201	716	687	480	897	532	2079	2245	2222	1854	1142
C1orf204	60	43	22	74	32	427	444	516	388	240
C1orf21	2509	2141	1484	2940	1797	9572	10306	10210	8092	5575
C1orf210	86	77	73	107	47	1	1	4	1	1
C1orf212	2759	2793	1743	3638	1949	2563	2817	2679	2273	1288
C1orf213	467	388	276	632	355	560	533	569	454	374
C1orf216	1942	1773	1231	2488	1405	7956	8828	8405	7213	4646
C1orf220	153	101	81	151	61	123	100	113	77	48
C1orf226	1045	962	605	1158	819	595	653	604	495	331
C1orf227	4	1	2	1	1	4	3	6	2	3
C1orf228	434	529	301	559	396	147	139	146	133	82
C1orf229	21	21	19	29	28	56	68	60	59	52
C1orf27	2608	2036	1514	3039	1965	1359	1412	1544	1110	905
C1orf31	1810	1363	1075	2266	1481	740	747	798	718	581
C1orf35	861	1027	646	1219	1161	658	700	673	640	590
C1orf38	714	705	415	835	521	802	796	790	687	400
C1orf43	14651	12958	8660	17646	10714	12098	13031	13004	10685	7204
C1orf49	0	0	0	0	1	1	0	3	1	1
C1orf50	481	380	285	636	370	509	525	514	456	277
C1orf51	479	493	291	651	349	966	999	927	798	459
C1orf52	1629	1389	990	2057	1189	2036	2185	2260	1886	1226
C1orf53	58	34	22	71	67	20	25	25	18	36
C1orf54	100	76	51	111	55	173	182	217	144	121
C1orf55	3724	3154	2053	4084	2418	1500	1642	1635	1379	756
C1orf56	272	279	184	304	334	205	199	214	170	177
C1orf61	21	27	7	22	14	7318	7537	7691	6016	3633
C1orf63	2399	2099	1493	3036	2067	2988	2952	3102	2663	2021
C1orf64	115	135	110	152	121	394	414	362	331	226
C1orf65	0	0	0	0	1	5	6	3	2	1
C1orf68	0	0	0	0	0	0	0	0	0	0
C1orf70	0	1	1	8	10	288	275	259	227	568
C1orf74	350	324	235	435	268	252	279	286	228	134
C1orf85	3211	3697	2414	4295	2566	660	780	796	589	309
C1orf86	348	511	394	542	1406	598	503	514	503	648
C1orf87	8	5	8	7	5	33	23	29	25	12
C1orf88	52	50	37	99	50	332	331	316	256	184
C1orf9	4434	3497	2473	4883	3232	2201	2179	2267	1819	1328
C1orf93	1994	2184	1481	2660	1895	3441	3539	3636	2960	1910
C1orf94	100	84	44	85	53	38	44	24	31	24
C1orf95	33	32	20	40	30	5914	6471	6134	5061	3273
C1orf96	2733	2296	1648	3452	2251	8688	8838	9512	7488	5688
C1orf98	12	9	8	18	13	9	8	16	15	5
C2	3950	3833	2373	4777	2584	377	367	341	315	171
C20orf103	133	168	88	199	78	3103	3227	3112	2661	1505
C20orf106	6	5	5	9	5	4	3	4	2	0
C20orf107	11	6	4	16	7	2	16	5	7	5
C20orf108	5597	4824	3504	6857	4278	3136	3360	3405	2714	2041
C20orf11	7214	6982	4441	9042	5485	4340	4646	4485	3826	2448
C20orf111	3551	2913	2010	4373	2111	1985	2255	2278	1898	1217
C20orf112	2903	2769	1831	3586	2574	3915	4181	4155	3402	2182
C20orf118	45	36	38	60	25	73	54	44	52	34
C20orf123	22	12	6	20	8	2	1	6	2	2
C20orf132	222	161	102	259	135	411	371	462	333	231
C20orf134	31	55	30	56	58	14	12	15	20	11
C20orf141	0	1	1	0	1	0	2	0	0	0
C20orf144	3	1	0	5	6	0	1	4	3	1
C20orf151	26	38	23	34	80	6	8	10	9	6
C20orf152	1	0	2	1	6	4	6	13	9	3
C20orf160	28	28	25	33	42	211	190	242	190	158
C20orf165	34	47	23	44	35	77	64	59	58	30
C20orf166	4	2	2	0	1	2	1	1	1	0
C20orf166-AS1	34	29	17	36	39	73	111	69	78	62
C20orf173	2	2	0	3	2	3	6	3	6	4
C20orf177	2154	1746	1235	2489	1695	5589	5564	5903	4592	3687
C20orf194	1760	1564	1115	2013	1270	6889	7175	7516	5840	3863
C20orf195	16	18	15	14	44	1	1	0	2	2
C20orf196	342	315	227	438	192	274	336	341	274	141
C20orf197	46	37	27	57	32	15	20	15	15	16
C20orf20	2938	3191	2022	4050	2542	795	883	868	669	468
C20orf201	0	0	0	0	23	6	0	3	1	50
C20orf202	16	13	5	26	11	61	53	48	39	38
C20orf203	78	70	40	88	42	307	300	322	269	172
C20orf24	786	866	549	1106	1423	286	306	315	229	347
C20orf26	6	5	4	18	3	95	108	113	79	50
C20orf27	2151	2934	1754	3157	3222	1412	1535	1401	1246	994
C20orf29	665	780	492	896	657	604	607	540	505	360
C20orf3	12857	12583	7887	16314	8971	12868	13861	13952	11387	6939
C20orf30	9518	7924	5522	11591	6859	5731	5923	6253	4945	3348
C20orf4	3672	3600	2392	4618	2499	1476	1690	1578	1277	806
C20orf43	8127	7786	5055	10368	5538	7267	8016	7872	6499	3874
C20orf46	498	551	370	716	365	725	791	711	596	341
C20orf54	61	56	48	83	41	417	519	388	389	227
C20orf7	949	822	549	1225	681	1264	1311	1426	1068	725
C20orf72	3865	3187	2237	4623	2476	397	441	447	388	245
C20orf79	0	0	0	0	0	0	0	0	0	0
C20orf85	0	0	0	1	0	1	1	1	0	0
C20orf94	131	122	71	139	117	55	66	78	58	26
C20orf96	1043	964	543	1210	695	537	590	546	500	279
C21orf119	283	304	198	321	242	212	252	239	194	140
C21orf128	12	4	8	11	4	209	199	201	170	74
C21orf15	197	195	140	247	123	129	135	148	124	75
C21orf2	649	719	437	801	1087	1121	1101	1113	1010	1182
C21orf33	5925	5877	3765	7540	5114	6027	6471	6429	5399	3923
C21orf37	17	20	11	29	13	46	55	43	42	26
C21orf49	32	31	22	52	15	46	44	30	25	18
C21orf54	0	0	0	0	0	0	0	0	0	0
C21orf56	375	525	289	529	1001	392	372	346	289	398
C21orf58	1255	1346	842	1504	1298	200	182	174	149	132
C21orf59	4156	3534	2559	5238	3130	1779	1887	1857	1644	1097
C21orf62	11	11	9	22	9	127	107	152	77	64
C21orf63	517	452	322	631	358	843	931	929	793	512
C21orf67	106	147	94	145	136	106	154	135	112	67
C21orf7	233	207	143	280	146	73	110	105	80	48
C21orf71	10	6	6	13	4	54	50	57	55	29
C21orf81	2	5	1	4	8	2	4	2	3	0
C21orf88	45	46	18	56	40	55	72	70	52	37
C21orf90	43	65	60	58	55	2	5	2	2	2
C21orf91	1774	1382	987	2076	1398	2175	2325	2493	1851	1415
C21orf91-OT1	1	0	0	0	0	0	0	0	0	0
C21orf96	35	21	20	37	12	1	0	1	3	0
C22orf13	6456	6480	4232	8343	4780	2407	2553	2512	2074	1283
C22orf15	15	9	10	21	7	6	5	4	3	2
