Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RAD21L1	16	13	9	24	16	3	4	10	3	0
RAD23A	9607	11202	7518	13273	8994	8388	8708	9142	7497	4638
RAD23B	18740	15655	10940	22672	13419	11286	11321	12200	9636	6815
RAD50	5935	4653	3364	6823	4899	3761	3846	3974	3303	2397
RAD51	2318	1958	1322	2712	1534	40	30	35	41	19
RAD51AP1	3879	3118	2043	4712	2916	74	89	95	66	49
RAD51AP2	13	2	0	3	3	59	65	51	48	44
RAD51B	498	425	302	686	367	80	111	98	85	52
RAD51C	2451	1957	1407	3038	1544	1141	1194	1253	1067	681
RAD51D	797	769	504	1001	554	578	642	622	530	354
RAD51L3-RFFL	0	1	0	0	0	1	1	0	0	0
RAD52	1000	890	604	1255	658	747	731	785	640	402
RAD54B	1604	1211	888	1840	1147	314	313	317	245	173
RAD54L	4247	3901	2530	5160	2580	159	176	176	127	87
RAD54L2	937	1029	562	1087	755	1097	1273	1157	906	503
RAD9A	1574	1885	1191	2172	1473	625	735	742	620	414
RAD9B	31	17	29	18	18	23	30	21	18	14
RADIL	94	126	72	117	258	575	549	604	549	686
RAE1	5249	4668	3121	6502	3600	2085	2000	2057	1691	1126
RAET1E	142	147	96	197	97	17	17	18	7	9
RAET1G	67	66	27	75	43	9	9	8	4	2
RAET1K	103	65	40	81	53	3	3	1	0	2
RAET1L	3	3	2	5	2	1	0	2	0	0
RAF1	9664	8887	5751	11603	6550	6208	6626	6615	5295	3351
RAG1	712	523	391	711	498	50	41	67	49	28
RAG2	54	38	31	62	37	1	5	3	2	2
RAI1	1862	2377	1640	2256	3911	3324	3421	3331	2915	3096
RAI14	6113	5085	3477	7019	4630	928	877	963	794	535
RAI2	107	125	61	151	90	973	1060	937	793	544
RALA	5426	4195	2962	6422	3816	3330	3209	3537	2865	2049
RALB	4177	3454	2370	4965	2880	4876	5039	5218	4304	2788
RALBP1	5583	5013	3385	6647	4917	6565	6716	7139	5752	4515
RALGAPA1	2927	2412	1717	3287	2292	7409	7336	7753	6201	4542
RALGAPA2	3509	2927	2078	3650	2503	2583	2758	2812	2137	1366
RALGAPB	6642	5602	3832	7604	5096	6661	6899	6907	5900	4333
RALGDS	2833	3458	2132	3533	2819	14304	15726	14637	12252	8039
RALGPS1	866	792	517	980	593	6201	6260	6268	5116	3367
RALGPS2	2528	2056	1391	2799	1998	904	988	1051	843	546
RALY	8984	9947	6182	11186	10829	4357	4683	4341	3903	3142
RALYL	0	2	1	2	3	4522	4701	4670	3999	2713
RAMP1	81	69	48	100	139	1459	1428	1476	1246	1310
RAMP2	400	404	226	561	303	436	478	467	365	292
RAMP3	356	451	272	493	305	648	754	765	601	365
RAN	40169	34866	22991	49142	24447	9453	9877	9927	8198	5068
RANBP1	11887	11464	7405	15065	10773	2244	2320	2250	1938	1602
RANBP10	2641	2756	1726	3211	2000	2916	3347	3075	2638	1502
RANBP17	397	323	200	409	246	217	196	266	181	140
RANBP2	10428	8304	6004	11866	8447	10367	10301	11071	8923	6590
RANBP3	3804	4247	2840	5144	3782	4106	4334	4308	3793	2485
RANBP3L	49	45	19	58	37	1103	1123	1217	993	641
RANBP6	3000	2461	1707	3410	2148	4177	4231	4339	3655	2540
RANBP9	6388	4977	3707	7652	4473	5622	5670	5929	4735	3443
RANGAP1	9575	11785	7148	13347	8454	14342	15950	14511	13035	7510
RANGRF	1097	927	652	1351	596	696	829	820	662	363
