GeneID,log2FC,P.Value,adj.P.Value
ENSG00000202241,7.281547838,0.014785593,0.160466004
ENSG00000132026,7.280244828,0.001393362,0.061348204
ENSG00000221962,7.269811082,0.002397758,0.079727091
ENSG00000278588,7.267913594,0.010033812,0.140382852
ENSG00000207445,7.267509478,0.001073674,0.054251507
ENSG00000249302,7.261599743,0.009312668,0.136799609
ENSG00000153779,7.255684123,0.006821389,0.122317833
ENSG00000200816,7.252841565,0.002746321,0.084183986
ENSG00000272620,7.246464061,4.28E-06,0.004923545
ENSG00000120068,7.239644093,0.00096125,0.05140519
ENSG00000260284,7.23054398,0.002584381,0.082294108
ENSG00000234155,7.226894523,0.000258596,0.026628712
ENSG00000226056,7.21077543,0.015087777,0.161116965
ENSG00000230126,7.196023064,0.005173843,0.11013409
ENSG00000270816,7.190977411,0.004470989,0.103489804
ENSG00000187772,7.186435803,0.012968014,0.153861088
ENSG00000228630,7.172234034,0.007766043,0.128301981
ENSG00000252213,7.157653782,0.0053144,0.110952999
ENSG00000252835,7.152102269,0.001143941,0.05566292
ENSG00000233304,7.149290589,0.003409147,0.093127634
ENSG00000224895,7.147205114,0.01033261,0.141663496
ENSG00000236863,7.143429884,0.005681953,0.114325206
ENSG00000148704,7.140970391,0.004276247,0.101654539
ENSG00000090512,7.137436781,0.007235618,0.12558119
ENSG00000229918,7.136353206,0.015413758,0.162142803
ENSG00000224141,7.135169386,0.00632633,0.118433199
ENSG00000182459,7.123628398,0.002168477,0.076699395
ENSG00000212443,7.114663164,0.001225023,0.057570356
ENSG00000258869,7.105474399,0.015550947,0.162565876
ENSG00000227060,7.102337063,0.001263427,0.058377293
ENSG00000186790,7.097346115,0.001380706,0.060996926
ENSG00000253877,7.095873105,0.009234573,0.136560891
ENSG00000165556,7.086050455,0.003148526,0.089404826
ENSG00000163497,7.079753737,0.002559029,0.081947731
ENSG00000222969,7.070945216,0.013003075,0.153956957
ENSG00000272963,7.054873607,0.013059859,0.154036549
ENSG00000072315,7.050905801,0.009798024,0.13898074
ENSG00000124575,7.036638668,0.001024041,0.052937685
ENSG00000251129,7.033307096,0.001920419,0.072099765
ENSG00000120211,7.030253236,0.003002289,0.087765799
ENSG00000229235,7.025258572,0.015914723,0.164125325
ENSG00000277586,7.011857772,0.000793205,0.046353064
ENSG00000252627,7.008666456,0.015991316,0.16437959
ENSG00000125816,7.00096938,0.008461124,0.13233163
ENSG00000235777,6.993917721,0.002332376,0.078765557
ENSG00000043355,6.993377704,0.000190246,0.023293725
ENSG00000169856,6.992474173,0.000264427,0.026700437
ENSG00000075043,6.984952218,0.00071667,0.044140883
ENSG00000163530,6.975111113,0.013742399,0.15709346
ENSG00000237373,6.967912849,0.006015708,0.116517891
ENSG00000228598,6.967431557,0.002177248,0.076821667
ENSG00000229456,6.966979397,0.005377071,0.111630365
ENSG00000200792,6.964232196,0.01337731,0.155450596
ENSG00000200488,6.959199987,0.003450245,0.093495141
ENSG00000201229,6.957714596,0.016229451,0.165114531
ENSG00000258467,6.94561617,0.004326767,0.102244
ENSG00000274618,6.940323142,0.016311754,0.165256918
ENSG00000259996,6.938767445,0.016081873,0.164526374
ENSG00000271710,6.937187664,0.003625742,0.09576861
ENSG00000258485,6.935611621,0.007849012,0.128863141
ENSG00000251111,6.933452123,0.003303491,0.091653699
ENSG00000225206,6.915034346,0.005896605,0.116025832
ENSG00000185940,6.902383982,0.011977702,0.149015461
ENSG00000222477,6.893707218,0.01363757,0.156784094
ENSG00000224802,6.888499003,0.007937091,0.129256614
ENSG00000223650,6.886486379,0.004280063,0.101654539
ENSG00000204866,6.874722525,7.19E-05,0.015521193
ENSG00000230184,6.872301891,0.013738241,0.157075625
ENSG00000256971,6.871559082,0.017091424,0.168229018
ENSG00000196748,6.87058191,0.002893133,0.086216013
ENSG00000164093,6.870133254,0.001114984,0.055019173
ENSG00000180178,6.865169602,0.001787059,0.069554057
ENSG00000101441,6.86512581,0.004289619,0.101730095
ENSG00000274391,6.864211059,0.010015353,0.140357407
ENSG00000186297,6.86318217,0.002344532,0.078914025
ENSG00000204019,6.857728955,0.002930774,0.086680691
ENSG00000248216,6.850078112,0.01674729,0.166572334
ENSG00000134538,6.848480886,0.001557854,0.064981858
ENSG00000223724,6.832875735,0.003662742,0.096110026
ENSG00000252130,6.831332071,0.016839566,0.167103738
ENSG00000156925,6.829781918,0.011547653,0.146884691
ENSG00000224243,6.8243517,0.01662593,0.166267542
ENSG00000248192,6.819561015,0.013917979,0.157778105
ENSG00000125462,6.817333118,0.000190521,0.023293725
ENSG00000260518,6.811057202,0.001595623,0.065983822
ENSG00000123388,6.806306523,0.002632661,0.082637574
ENSG00000182111,6.80519998,0.002460688,0.080536278
ENSG00000187690,6.805178635,0.003325291,0.091900947
ENSG00000238284,6.803320283,0.017440213,0.169308646
ENSG00000183072,6.798205963,0.004170286,0.100584579
ENSG00000099953,6.792013777,5.28E-05,0.012977862
ENSG00000172023,6.783026498,0.006994166,0.12351186
ENSG00000158639,6.782471195,0.005466633,0.112246022
ENSG00000243398,6.781009964,0.014066566,0.158382963
ENSG00000234722,6.775178136,0.001802442,0.069837977
ENSG00000166105,6.767545071,0.000176528,0.0220636
ENSG00000077080,6.764021537,0.006157263,0.117553576
ENSG00000252269,6.758860499,0.014177712,0.15856771
ENSG00000123576,6.755974182,0.017687359,0.170019767
ENSG00000228219,6.745111344,0.003856246,0.097796189
ENSG00000178828,6.735238199,0.002313848,0.078619904
ENSG00000188338,6.733488969,0.002417331,0.080157581
ENSG00000116996,6.73170808,0.017815687,0.170203733
ENSG00000117148,6.7242827,0.001850664,0.070933912
ENSG00000164438,6.723642588,0.008788996,0.134029055
ENSG00000171450,6.719330516,0.005712745,0.114639658
ENSG00000204296,6.702682384,0.002598167,0.082452094
ENSG00000207008,6.701874488,0.006182912,0.117664591
ENSG00000141668,6.696673956,0.001382649,0.060996926
ENSG00000228271,6.692490105,0.011591561,0.146906707
ENSG00000114349,6.681774703,0.005910348,0.116025832
ENSG00000226921,6.670139278,0.00578642,0.115355165
ENSG00000279516,6.669189809,0.013993631,0.157936408
ENSG00000221102,6.668000069,0.014525278,0.159367595
ENSG00000226188,6.666818043,0.013547311,0.156520847
ENSG00000162006,6.662544061,0.002531708,0.081363067
ENSG00000248498,6.658046212,0.009983813,0.140162009
ENSG00000244229,6.649125161,0.00252602,0.081266642
ENSG00000233125,6.645963905,0.002905485,0.086410545
ENSG00000181552,6.640467453,0.00522699,0.11029569
ENSG00000116745,6.638114231,0.003831306,0.097567691
ENSG00000223974,6.633360127,0.011738309,0.147675819
ENSG00000229544,6.632443467,7.10E-05,0.015431215
ENSG00000257979,6.631198176,0.007271389,0.125760705
ENSG00000072080,6.630036896,0.001300528,0.059383826
ENSG00000207444,6.629133313,0.017875647,0.170434009
ENSG00000144481,6.624892312,7.60E-05,0.015953306
ENSG00000278630,6.617185206,0.014198395,0.158598551
ENSG00000243479,6.613339602,0.0003021,0.029423409
ENSG00000166923,6.608446079,6.16E-05,0.014220343
ENSG00000240476,6.608134737,0.00151659,0.064159234
ENSG00000188816,6.606123066,0.009156936,0.136232236
ENSG00000234285,6.59996311,0.00299694,0.087736647
ENSG00000241749,6.598073379,0.000427002,0.034505856
ENSG00000273703,6.591613702,0.007943262,0.129260508
ENSG00000281097,6.587175854,0.000315947,0.029998225
ENSG00000207233,6.583914626,0.002747535,0.084183986
ENSG00000261949,6.576724938,0.005324123,0.111041009
ENSG00000261963,6.572938054,0.008673077,0.133673799
ENSG00000232349,6.568231406,0.014952687,0.161036921
ENSG00000243053,6.566950646,0.011937322,0.148774992
ENSG00000119547,6.566636855,0.000598173,0.040436852
ENSG00000182870,6.564039811,0.00046892,0.036104495
ENSG00000231148,6.562509033,0.018233916,0.171290145
ENSG00000223896,6.537312818,0.015068398,0.161116965
ENSG00000222005,6.53415824,0.002592373,0.082385861
ENSG00000235112,6.529747968,0.006586147,0.120202149
ENSG00000258910,6.528453743,0.013032836,0.153956957
ENSG00000276368,6.521022582,0.003959222,0.098101444
ENSG00000173227,6.520305287,0.000311388,0.029942263
ENSG00000111215,6.516851752,0.000893626,0.049586421
ENSG00000242330,6.516321916,0.01848738,0.171758599
ENSG00000257842,6.513634854,0.001135958,0.055542553
ENSG00000232131,6.503401366,0.012175859,0.150146544
ENSG00000278272,6.502559838,0.004463346,0.103489804
ENSG00000006377,6.502303246,0.000818952,0.047309144
ENSG00000236709,6.500908819,0.006883152,0.123024146
ENSG00000142408,6.493951967,0.001780199,0.069527161
ENSG00000159527,6.491613388,0.010051662,0.140518989
ENSG00000204683,6.48701188,0.005348905,0.111254178
ENSG00000225602,6.472061406,0.013662745,0.156924385
ENSG00000201801,6.468609036,0.018753683,0.172480156
ENSG00000226367,6.466991262,0.00200008,0.073530971
ENSG00000234233,6.465379567,0.012350891,0.150730288
ENSG00000235180,6.457545847,0.008448039,0.132284807
ENSG00000174145,6.452033367,0.000777159,0.045815543
ENSG00000180818,6.449247015,0.003191168,0.089982022
ENSG00000248221,6.444148287,0.018891994,0.172789705
ENSG00000239002,6.439454795,0.007510441,0.126780359
ENSG00000148386,6.437859921,0.006672309,0.120935359
ENSG00000205922,6.431838578,0.003934048,0.097986459
ENSG00000228437,6.428059939,0.000278725,0.027545974
ENSG00000160716,6.425268689,0.002470563,0.080684174
ENSG00000248483,6.419868119,0.003522041,0.094586218
ENSG00000229954,6.418031343,0.005668,0.114318446
ENSG00000167755,6.414775653,0.000439479,0.035113591
ENSG00000156564,6.41398882,0.006763394,0.121852882
ENSG00000183432,6.408653617,0.011471982,0.14647665
ENSG00000230798,6.403989907,8.45E-05,0.016733096
ENSG00000139800,6.400078055,0.001519363,0.064172914
ENSG00000250590,6.396082345,0.01438841,0.159134663
ENSG00000206702,6.395525206,0.005478224,0.112246022
ENSG00000139352,6.39483355,0.011643393,0.147204711
ENSG00000276410,6.390139439,0.006012806,0.116517891
ENSG00000205927,6.382760626,0.003944861,0.097986459
ENSG00000201435,6.381995385,0.011579886,0.146906707
ENSG00000138271,6.380567138,0.0004269,0.034505856
ENSG00000169213,6.378463173,0.000561687,0.039448515
ENSG00000170965,6.375906238,0.000927463,0.050536714
ENSG00000260854,6.375596908,0.015517516,0.162490636
ENSG00000229375,6.375386204,0.013454692,0.155902101
ENSG00000227351,6.374676539,0.015792135,0.163801637
ENSG00000234881,6.373348195,0.015795256,0.163801637
ENSG00000124232,6.369434002,0.00129429,0.059215218
ENSG00000251891,6.368176403,0.019328707,0.174155315
ENSG00000176153,6.361573403,0.000849914,0.048358726
ENSG00000235917,6.360745432,0.007425219,0.126356463
ENSG00000176165,6.358479555,0.005068004,0.109733858
